,population,code_commune,lat,long,area,accident_num,length,ACCOTEMENT REVETU HORS CVCB,AMENAGEMENT MIXTES PIETON VELO HORS VOIE VERTE,AUTRE,BANDE CYCLABLE,CHAUSSEE A VOIE CENTRALE BANALISEE,COULOIR BUS+VELO,DOUBLE SENS CYCLABLE BANDE,DOUBLE SENS CYCLABLE NON MATERIALISE,DOUBLE SENS CYCLABLE PISTE,GOULOTTE,PISTE CYCLABLE,VELO RUE,VOIE VERTE
9914,1839,38187,905185,6438776,2865,0.0,2119.7514940782635,0.0,1163.4342394555074,911.0520127171384,45.26524190561763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9915,1147,69214,803390,6546104,1566,0.0,2451.8264003981744,0.0,0.0,0.0,2451.8264003981744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9916,1787,26323,867536,6442225,1541,0.0,950.9483483572948,295.21754070230025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,655.7308076549946,0.0,0.0
9917,1943,01179,841877,6576204,1471,0.0,1502.6736379343645,0.0,0.0,0.0,868.8629219709785,0.0,0.0,0.0,0.0,0.0,0.0,633.8107159633856,0.0,0.0
9918,1225,43262,730516,6461787,2775,0.0,1064.2158177501385,0.0,0.0,0.0,1064.2158177501385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9919,1365,38051,848945,6470948,1589,0.0,188.4218188693852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.4218188693852
9920,635,70104,915972,6704639,2130,0.0,1433.500608844639,0.0,0.0,1433.500608844639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9921,715,25442,954479,6643943,1054,0.0,7061.430108880008,0.0,35.764073910812684,0.0,4019.179211679692,0.0,0.0,0.0,0.0,0.0,0.0,1069.228084440212,0.0,1937.258738849291
9922,4653,88090,944908,6814805,2375,0.0,406.7689616900484,0.0,406.7689616900484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9923,234,68274,1010856,6764578,485,0.0,4211.463259567674,0.0,4211.463259567674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9924,825,68290,1034466,6769623,1217,1.0,6708.949989716326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6708.949989716326,0.0,0.0
9925,4808,67194,1060802,6859658,1432,2.0,8521.57045297613,0.0,0.0,0.0,4170.049502629892,0.0,0.0,0.0,0.0,0.0,0.0,73.05560745437043,0.0,4278.465342891868
9926,904,57211,926866,6903987,482,0.0,8083.630876071164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8083.630876071164,0.0,0.0
9927,1501,88132,961404,6794640,867,0.0,2194.035228687677,0.0,2194.035228687677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9928,359,52175,859607,6808169,1289,0.0,460.3937484311989,0.0,0.0,460.3937484311989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9929,3723,68338,1016266,6784929,1639,0.0,19709.671761184298,0.0,1071.1884171603017,10678.740808687851,1166.1366992009266,0.0,0.0,144.8109703978501,1345.6271332564374,0.0,0.0,5303.1677324809325,0.0,0.0
9930,608,57109,933900,6933286,1064,0.0,3584.0551429780967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3584.0551429780967,0.0,0.0
9931,1145,68317,1004137,6784082,1836,0.0,4364.754741790152,0.0,0.0,4364.754741790152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9932,678,80732,607614,6977967,704,0.0,207.1804051833191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.1804051833191
9933,4924,62491,684681,7057275,1843,0.0,1773.490660498475,0.0,0.0,0.0,1773.490660498475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9934,464,62653,608001,7073447,781,0.0,2451.3214231583897,0.0,946.873003331386,0.0,0.0,1504.4484198270038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9935,3008,62023,664418,7047990,780,0.0,2122.376126590396,0.0,0.0,92.46733853679764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2029.908788053598,0.0,0.0
9936,1939,62043,624988,7090153,2082,0.0,97.4525294142552,0.0,0.0,0.0,75.96487796118896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.48765145306623
9937,815,80234,658558,6977730,877,0.0,6989.42387453833,0.0,632.918747822443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6356.505126715887
9938,581,02352,719269,6988755,1759,0.0,1706.2240342687878,0.0,1706.2240342687878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9939,9771,62637,699589,7040817,551,0.0,22756.79677522604,0.0,13748.9006328429,0.0,2914.301618222943,0.0,0.0,0.0,0.0,0.0,0.0,1815.7427183828,0.0,4277.851805777396
9940,1001,59455,719086,7017042,762,0.0,11147.74570093833,0.0,0.0,11008.12426737378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.6214335645499
9941,632,02065,716134,6984729,986,0.0,2156.481376711105,0.0,1787.060353663945,369.42102304716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9942,2167,62748,638617,7094431,1796,0.0,823.4818170736877,0.0,0.0,823.4818170736877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9943,535,62623,632770,7093645,930,0.0,3518.38716853735,0.0,2435.10864490298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.9664824324464,0.0,899.3120412019241
9944,619,62567,636144,7075720,1090,0.0,273.5165678183876,0.0,273.5165678183876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9945,1176,62279,678310,7022789,1075,0.0,2014.274126688394,0.0,1191.9812384868976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.55435620515468,0.0,599.7385319963417
9946,295,02445,768787,6980925,1108,0.0,6742.069987599165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6742.069987599165
9947,2257,62849,604174,7034238,1110,0.0,7184.33958563652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6331.929608489967,0.0,852.4099771465526
9948,1706,02575,738348,6970232,2331,0.0,1924.902336791524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748.9122341367904,0.0,1175.9901026547334
9949,1742,59578,663765,7065011,1205,0.0,1424.9196699772351,0.0,1104.033481882231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320.88618809500434,0.0,0.0
9950,531,25575,938324,6690848,1272,0.0,3191.908523404235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3191.908523404235
9951,212,89253,748336,6718100,2366,0.0,10298.648567894988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10298.648567894988
9952,152071,21231,853273,6692614,4160,4.0,170576.2638745071,0.0,29095.39894376518,6401.0149982702005,36853.533035862514,0.0,12341.094779807016,4383.94138069464,6083.367775579266,275.1027140735413,0.0,64479.14521251853,309.2936487612346,10354.371385174982
9953,2568,71215,845840,6643741,3921,0.0,25939.466501826944,0.0,0.0,2211.177113293105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15353.367609457817,0.0,8374.921779076023
9954,635,71196,878768,6621333,2082,0.0,4075.604770292729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4075.604770292729
9955,153,71007,827719,6604070,651,0.0,4206.641172742227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4206.641172742227
